source,target,relationship,subject
Sieve_of_Eratosthenes,Array,uses,ADA
Sieve_of_Eratosthenes,Linked_List,interacts_with,ADA
Prims_Algorithm,Priority_Queue,uses,ADA
Dijkstras_Algorithm,Priority_Queue,uses,ADA
Priority_Queue,Min_Heap,contains,ADA
Priority_Queue,Fibonacci_Heap,contains,ADA
Backtracking,State_Space_Tree,uses,ADA
Shellsort,Insertion_Sort,uses,ADA
Quick_Sort,Insertion_Sort,interacts_with,ADA
Robert_Sedgewick,Quick_Sort,develops,ADA
data_communications,transmission_medium,uses,CN
data_communications,protocol,follows,CN
data_communications,simplex,supports,CN
data_communications,half_duplex,supports,CN
data_communications,full_duplex,supports,CN
network,router,contains,CN
network,switch,contains,CN
network,modem,contains,CN
network,performance,depends_on,CN
network,reliability,depends_on,CN
network,security,depends_on,CN
performance,throughput,contains,CN
performance,delay,contains,CN
network,point_to_point,uses,CN
network,multipoint,uses,CN
network,physical_topology,belongs_to,CN
physical_topology,mesh_topology,contains,CN
physical_topology,star_topology,contains,CN
physical_topology,bus_topology,contains,CN
physical_topology,ring_topology,contains,CN
star_topology,hub,uses,CN
ring_topology,repeater,uses,CN
the_internet,lan,contains,CN
the_internet,wan,contains,CN
ethernet,bus_topology,uses,CN
token_ring,ring_topology,uses,CN
token_ring,ibm,developed_by,CN
switching,circuit_switched,contains,CN
switching,packet_switched,contains,CN
packet_switched,router,uses,CN
the_internet,isp,provides,CN
isp,dsl,supports,CN
isp,dial_up,supports,CN
protocol_layering,tcp_ip_suite,implements,CN
protocol_layering,osi_model,implements,CN
dnssec,dns,secures,CN
dnssec,digital_signature,uses,CN
osi_model,physical_layer,contains,CN
osi_model,data_link_layer,contains,CN
osi_model,network_layer,contains,CN
osi_model,transport_layer,contains,CN
osi_model,session_layer,contains,CN
osi_model,presentation_layer,contains,CN
osi_model,application_layer,contains,CN
tcp_ip_suite,network_access_layer,contains,CN
tcp_ip_suite,internet_layer,contains,CN
tcp_ip_suite,transport_layer,contains,CN
tcp_ip_suite,application_layer,contains,CN
ipv4,ip_address,belongs_to,CN
ipv6,ip_address,belongs_to,CN
subnet_mask,ipv4,supports,CN
cidr,ipv4,supports,CN
http,application_layer,operates_at,CN
https,application_layer,operates_at,CN
ftp,application_layer,operates_at,CN
smtp,application_layer,operates_at,CN
pop3,application_layer,operates_at,CN
imap,application_layer,operates_at,CN
tcp,transport_layer,operates_at,CN
udp,transport_layer,operates_at,CN
arp,ipv4,supports,CN
arp,network_layer,operates_at,CN
icmp,network_layer,belongs_to,CN
dhcp,application_layer,operates_at,CN
routing,router,uses,CN
rip,distance_vector_routing,belongs_to,CN
ospf,link_state_routing,belongs_to,CN
router,routing,performs,CN
firewall,network,secures,CN
ssl,https,secures,CN
tls,https,secures,CN
vpn,the_internet,secures,CN
Data_Structure,Primitive_Data_Structure,consists_of,DSA
Data_Structure,Non_Primitive_Data_Structure,consists_of,DSA
Primitive_Data_Structure,Integer,contains,DSA
Primitive_Data_Structure,Float,contains,DSA
Primitive_Data_Structure,Character,contains,DSA
Primitive_Data_Structure,Pointer,contains,DSA
Non_Primitive_Data_Structure,Linear_Data_Structure,consists_of,DSA
Non_Primitive_Data_Structure,Non_Linear_Data_Structure,consists_of,DSA
Linear_Data_Structure,Array,contains,DSA
Linear_Data_Structure,Linked_List,contains,DSA
Linear_Data_Structure,Stack,contains,DSA
Linear_Data_Structure,Queue,contains,DSA
Non_Linear_Data_Structure,Tree,contains,DSA
Non_Linear_Data_Structure,Graph,contains,DSA
Array,One_Dimensional_Array,extends,DSA
Array,Two_Dimensional_Array,extends,DSA
Array,Sparse_Matrix,implements,DSA
Linked_List,Singly_Linked_List,extends,DSA
Linked_List,Doubly_Linked_List,extends,DSA
Linked_List,Circular_Linked_List,extends,DSA
Linked_List,Sparse_Matrix,implements,DSA
Stack,Push,supports,DSA
Stack,Pop,supports,DSA
Queue,Enqueue,supports,DSA
Queue,Dequeue,supports,DSA
Queue,Circular_Queue,extends,DSA
Queue,Priority_Queue,extends,DSA
Queue,Deque,extends,DSA
Tree,Binary_Tree,extends,DSA
Binary_Tree,Binary_Search_Tree,extends,DSA
Binary_Search_Tree,AVL_Tree,extends,DSA
Binary_Tree,Heap,extends,DSA
Heap,Min_Heap,consists_of,DSA
Heap,Max_Heap,consists_of,DSA
Graph,Directed_Graph,extends,DSA
Graph,Undirected_Graph,extends,DSA
Graph,Adjacency_Matrix,stores,DSA
Graph,Adjacency_List,stores,DSA
Data_Structure,Operation,supports,DSA
Operation,Create,belongs_to,DSA
Operation,Destroy,belongs_to,DSA
Operation,Selection,belongs_to,DSA
Operation,Updating,belongs_to,DSA
Operation,Searching,belongs_to,DSA
Operation,Sorting,belongs_to,DSA
Searching,Sequential_Search,consists_of,DSA
Searching,Binary_Search,consists_of,DSA
Sorting,Bubble_Sort,consists_of,DSA
Sorting,Selection_Sort,consists_of,DSA
Sorting,Insertion_Sort,consists_of,DSA
Sorting,Merge_Sort,consists_of,DSA
Sorting,Quick_Sort,consists_of,DSA
Hashing,Hash_Table,stores,DSA
Hashing,Linear_Probing,uses,DSA
Hashing,Quadratic_Probing,uses,DSA
Hashing,Double_Hashing,uses,DSA
Hashing,Chaining,uses,DSA
DFS,Graph,traverses,DSA
BFS,Graph,traverses,DSA
Inorder_Traversal,Binary_Tree,traverses,DSA
Preorder_Traversal,Binary_Tree,traverses,DSA
Postorder_Traversal,Binary_Tree,traverses,DSA
Stack,Expression_Evaluation,applied_in,DSA
Stack,Function_Call,applied_in,DSA
Stack,Parenthesis_Matching,applied_in,DSA
Queue,CPU_Scheduling,applied_in,DSA
Queue,Printer_Scheduling,applied_in,DSA
Recursion,Tower_of_Hanoi,performs,DSA
String,Pattern_Matching,supports,DSA
KMP_Algorithm,Pattern_Matching,implements,DSA
Binary_Search,Array,searches,DSA
Selection_Sort,Array,sorts,DSA
Binary_Search,Recursion,uses,DSA
Machine_Learning,Artificial_Intelligence,belongs_to,ML
Deep_Learning,Machine_Learning,belongs_to,ML
Data_Science,Machine_Learning,uses,ML
Data_Mining,Data_Science,belongs_to,ML
Data_Analytics,Data_Science,belongs_to,ML
Pattern_Recognition,Machine_Learning,extends,ML
Machine_Learning,Statistics,depends_on,ML
Machine_Learning,Supervised_Learning,contains,ML
Machine_Learning,Unsupervised_Learning,contains,ML
Machine_Learning,Semi_Supervised_Learning,contains,ML
Machine_Learning,Reinforcement_Learning,contains,ML
Supervised_Learning,Classification,contains,ML
Supervised_Learning,Regression,contains,ML
Unsupervised_Learning,Clustering,contains,ML
Unsupervised_Learning,Dimensionality_Reduction,contains,ML
Linear_Regression,Regression,belongs_to,ML
Logistic_Regression,Classification,belongs_to,ML
Decision_Tree,Classification,belongs_to,ML
Random_Forest,Classification,belongs_to,ML
KNN,Classification,belongs_to,ML
Naive_Bayes,Classification,belongs_to,ML
SVM,Classification,belongs_to,ML
KMeans,Clustering,belongs_to,ML
Hierarchical_Clustering,Clustering,belongs_to,ML
PCA,Dimensionality_Reduction,belongs_to,ML
Neural_Network,Deep_Learning,implements,ML
Perceptron,Neural_Network,belongs_to,ML
CNN,Deep_Learning,belongs_to,ML
RNN,Deep_Learning,belongs_to,ML
Neural_Network,Input_Layer,contains,ML
Neural_Network,Hidden_Layer,contains,ML
Neural_Network,Output_Layer,contains,ML
Model,Training_Data,trained_on,ML
Model,Testing_Data,evaluates,ML
Training_Data,Feature,contains,ML
Training_Data,Label,contains,ML
Classification,Accuracy,evaluates,ML
Classification,Precision,evaluates,ML
Classification,Recall,evaluates,ML
Classification,F1_Score,evaluates,ML
Classification,Confusion_Matrix,uses,ML
Gradient_Descent,Model,optimizes,ML
Gradient_Descent,Neural_Network,optimizes,ML
Model,Bias_Variance_Tradeoff,depends_on,ML
Bias_Variance_Tradeoff,Overfitting,contains,ML
Bias_Variance_Tradeoff,Underfitting,contains,ML
Cross_Validation,Overfitting,supports,ML
Machine_Learning,Sentiment_Analysis,applied_in,ML
Machine_Learning,Recommendation_Systems,applied_in,ML
Machine_Learning,Voice_Assistants,applied_in,ML
Machine_Learning,Image_Processing,applied_in,ML
Machine_Learning,CRISP_DM,uses,ML
CNN,Image_Processing,applied_in,ML
Machine_Learning,Data_Preprocessing,uses,ML
Data_Preprocessing,Normalization,contains,ML
Data_Preprocessing,Standardization,contains,ML
Data_Preprocessing,Missing_Value_Handling,contains,ML
Feature_Selection,Feature_Engineering,belongs_to,ML
Feature_Extraction,Feature_Engineering,belongs_to,ML
Reinforcement_Learning,Agent,contains,ML
Reinforcement_Learning,Environment,contains,ML
Reinforcement_Learning,Reward,contains,ML
Reinforcement_Learning,Policy,contains,ML
Neural_Network,Activation_Function,uses,ML
Activation_Function,ReLU,contains,ML
Activation_Function,Sigmoid,contains,ML
Activation_Function,Softmax,contains,ML
Operating_System,Kernel,contains,OS
Operating_System,Process_Management,contains,OS
Operating_System,CPU_Scheduling,contains,OS
Operating_System,Memory_Management,contains,OS
Operating_System,File_System,contains,OS
Operating_System,OS_Security,contains,OS
Kernel,System_Call,supports,OS
Kernel,Kernel_Mode,uses,OS
Operating_System,User_Mode,supports,OS
Batch_System,Operating_System,belongs_to,OS
Time_Sharing_System,Operating_System,belongs_to,OS
Distributed_System,Operating_System,belongs_to,OS
Real_Time_System,Operating_System,belongs_to,OS
Multiprogramming,Operating_System,applied_in,OS
Multitasking,Operating_System,applied_in,OS
Process_Management,Process,manages,OS
Process_Management,Thread,manages,OS
Process_Management,IPC,uses,OS
IPC,Shared_Memory,contains,OS
IPC,Message_Passing,contains,OS
Process,PCB,uses,OS
Process,New_State,belongs_to,OS
Process,Ready_State,belongs_to,OS
Process,Running_State,belongs_to,OS
Process,Waiting_State,belongs_to,OS
Process,Terminated_State,belongs_to,OS
Process_Management,Context_Switching,uses,OS
CPU_Scheduling,FCFS_Scheduling,contains,OS
CPU_Scheduling,SJF_Scheduling,contains,OS
CPU_Scheduling,Priority_Scheduling,contains,OS
CPU_Scheduling,Round_Robin_Scheduling,contains,OS
CPU_Scheduling,Multilevel_Queue_Scheduling,contains,OS
CPU_Scheduling,Turnaround_Time,evaluates,OS
CPU_Scheduling,Waiting_Time,evaluates,OS
CPU_Scheduling,Response_Time,evaluates,OS
Process_Synchronization,Critical_Section,manages,OS
Process_Synchronization,Semaphore,uses,OS
Process_Synchronization,Mutex,uses,OS
Process_Synchronization,Monitor,uses,OS
Producer_Consumer_Problem,Process_Synchronization,depends_on,OS
Readers_Writers_Problem,Process_Synchronization,depends_on,OS
Dining_Philosophers_Problem,Process_Synchronization,depends_on,OS
Deadlock,Resource_Allocation_Graph,uses,OS
Deadlock_Prevention,Deadlock,prevents,OS
Deadlock_Avoidance,Deadlock,prevents,OS
Bankers_Algorithm,Deadlock_Avoidance,implements,OS
Deadlock_Detection,Deadlock,detects,OS
Deadlock_Recovery,Deadlock,recovers_from,OS
Memory_Management,Paging,uses,OS
Memory_Management,Segmentation,uses,OS
Memory_Management,Virtual_Memory,supports,OS
Virtual_Memory,Demand_Paging,uses,OS
Demand_Paging,Page_Fault,generates,OS
Demand_Paging,Page_Replacement,uses,OS
Page_Replacement,FIFO_Page_Replacement,contains,OS
Page_Replacement,LRU_Page_Replacement,contains,OS
Page_Replacement,Optimal_Page_Replacement,contains,OS
Thrashing,Virtual_Memory,occurs_in,OS
File_System,Directory_Structure,contains,OS
Directory_Structure,Hierarchical_Directory,contains,OS
File_System,Contiguous_Allocation,implements,OS
File_System,Linked_Allocation,implements,OS
File_System,Indexed_Allocation,implements,OS
Operating_System,Disk_Scheduling,manages,OS
Disk_Scheduling,FCFS_Disk_Scheduling,contains,OS
Disk_Scheduling,SSTF_Scheduling,contains,OS
Disk_Scheduling,SCAN_Scheduling,contains,OS
Disk_Scheduling,C_SCAN_Scheduling,contains,OS
OS_Security,Authentication,uses,OS
OS_Security,Authorization,uses,OS
OS_Security,Access_Control,uses,OS
OS_Security,Protection_Mechanism,implements,OS
se,software_crisis,resolves,SEPM
se,software_process,contains,SEPM
se,sdlc,contains,SEPM
se,project_management,supports,SEPM
se,software_quality,evaluates,SEPM
software_process,sdlc,implements,SEPM
sdlc,process_models,contains,SEPM
sdlc,feasibility_study,contains,SEPM
sdlc,requirements_eng,contains,SEPM
sdlc,software_design,contains,SEPM
sdlc,implementation,contains,SEPM
sdlc,software_testing,contains,SEPM
sdlc,software_maintenance,contains,SEPM
feasibility_study,technical_feasibility,contains,SEPM
feasibility_study,economic_feasibility,contains,SEPM
feasibility_study,operational_feasibility,contains,SEPM
feasibility_study,schedule_feasibility,contains,SEPM
requirements_eng,feasibility_study,follows,SEPM
process_models,waterfall,contains,SEPM
process_models,incremental,contains,SEPM
process_models,prototype_model,contains,SEPM
process_models,spiral,contains,SEPM
process_models,rad,contains,SEPM
process_models,agile,contains,SEPM
process_models,devops,contains,SEPM
agile,scrum,contains,SEPM
agile,xp,contains,SEPM
scrum,product_backlog,contains,SEPM
scrum,sprint_backlog,contains,SEPM
scrum,sprint,contains,SEPM
scrum,daily_scrum,contains,SEPM
scrum,burndown_chart,uses,SEPM
requirements_eng,req_elicitation,contains,SEPM
requirements_eng,req_analysis,contains,SEPM
requirements_eng,req_validation,contains,SEPM
requirements_eng,srs,produces,SEPM
req_elicitation,interview,uses,SEPM
req_elicitation,questionnaire,uses,SEPM
req_elicitation,observation,uses,SEPM
req_elicitation,brainstorming,uses,SEPM
req_elicitation,jad,uses,SEPM
req_analysis,functional_req,contains,SEPM
req_analysis,non_functional_req,contains,SEPM
req_analysis,system_modeling,uses,SEPM
srs,functional_req,documents,SEPM
srs,non_functional_req,documents,SEPM
srs,software_design,depends_on,SEPM
system_modeling,uml,uses,SEPM
system_modeling,dfd,contains,SEPM
system_modeling,er_diagram,contains,SEPM
uml,use_case_diagram,contains,SEPM
uml,class_diagram,contains,SEPM
uml,sequence_diagram,contains,SEPM
uml,activity_diagram,contains,SEPM
uml,state_diagram,contains,SEPM
use_case_diagram,actor,contains,SEPM
software_design,software_architecture,contains,SEPM
software_design,modular_design,contains,SEPM
software_design,design_patterns,uses,SEPM
software_design,design_document,produces,SEPM
software_design,abstraction,contains,SEPM
software_design,encapsulation,contains,SEPM
software_design,inheritance,contains,SEPM
software_design,polymorphism,contains,SEPM
modular_design,cohesion,evaluates,SEPM
modular_design,coupling,evaluates,SEPM
design_document,implementation,depends_on,SEPM
implementation,coding_standards,uses,SEPM
implementation,code_review,contains,SEPM
implementation,refactoring,contains,SEPM
software_testing,unit_testing,contains,SEPM
software_testing,integration_testing,contains,SEPM
software_testing,system_testing,contains,SEPM
software_testing,acceptance_testing,contains,SEPM
software_testing,regression_testing,contains,SEPM
software_testing,test_plan,documents,SEPM
software_testing,test_case,produces,SEPM
software_testing,defect,monitors,SEPM
unit_testing,white_box,uses,SEPM
integration_testing,black_box,uses,SEPM
system_testing,black_box,uses,SEPM
acceptance_testing,black_box,uses,SEPM
acceptance_testing,alpha_testing,contains,SEPM
acceptance_testing,beta_testing,contains,SEPM
req_validation,acceptance_testing,validates,SEPM
error,bug,belongs_to,SEPM
bug,defect,belongs_to,SEPM
defect,failure,belongs_to,SEPM
software_quality,sqa,contains,SEPM
software_quality,iso_9126,uses,SEPM
software_quality,cmmi,follows,SEPM
sqa,verification,contains,SEPM
sqa,validation,contains,SEPM
iso_9126,reliability,contains,SEPM
iso_9126,maintainability,contains,SEPM
iso_9126,availability,contains,SEPM
verification,code_review,verifies,SEPM
verification,design_document,verifies,SEPM
validation,software_testing,validates,SEPM
project_management,project_planning,contains,SEPM
project_management,risk_management,monitors,SEPM
project_management,scm,manages,SEPM
project_planning,project_scheduling,contains,SEPM
project_planning,wbs,uses,SEPM
project_planning,cost_estimation,estimates,SEPM
project_scheduling,wbs,depends_on,SEPM
project_scheduling,gantt_chart,uses,SEPM
project_scheduling,pert_chart,uses,SEPM
project_scheduling,cpm,uses,SEPM
cost_estimation,effort_estimation,contains,SEPM
cost_estimation,loc,uses,SEPM
cost_estimation,fp_analysis,uses,SEPM
cost_estimation,cocomo,uses,SEPM
cocomo,basic_cocomo,contains,SEPM
cocomo,intermediate_cocomo,contains,SEPM
cocomo,detailed_cocomo,contains,SEPM
cocomo,effort_estimation,estimates,SEPM
loc,cocomo,belongs_to,SEPM
risk_management,risk_identification,contains,SEPM
risk_management,risk_analysis,contains,SEPM
risk_management,risk_mitigation,contains,SEPM
scm,version_control,contains,SEPM
scm,change_management,contains,SEPM
version_control,git,uses,SEPM
version_control,github,uses,SEPM
version_control,svn,uses,SEPM
software_maintenance,corrective_maintenance,contains,SEPM
software_maintenance,adaptive_maintenance,contains,SEPM
software_maintenance,perfective_maintenance,contains,SEPM
software_maintenance,preventive_maintenance,contains,SEPM
software_maintenance,software_evolution,contains,SEPM
software_evolution,legacy_system,belongs_to,SEPM
project_manager,project_management,manages,SEPM
project_manager,project_planning,manages,SEPM
project_manager,test_plan,documents,SEPM
software_engineer,software_design,implements,SEPM
software_engineer,implementation,implements,SEPM
software_engineer,unit_testing,implements,SEPM
software_engineer,system_modeling,uses,SEPM
tester,software_testing,implements,SEPM
tester,test_case,produces,SEPM
tester,test_plan,follows,SEPM
customer,stakeholder,belongs_to,SEPM
customer,req_elicitation,supports,SEPM
customer,acceptance_testing,validates,SEPM
stakeholder,feasibility_study,evaluates,SEPM
stakeholder,srs,validates,SEPM
software_maintenance,user_manual,uses,SEPM
implementation,version_control,uses,SEPM
change_management,software_maintenance,supports,SEPM
test_plan,test_case,contains,SEPM
